title,description,authors,categories
The Free-lance Writer's Handbook,,"['William Dorsey Kennedy', 'Margaret Gordon']",['Authorship']
Southern Humanities Review,,[],['Humanities']
"Abstracts of Dissertations for the Degree of Doctor of Philosophy, with an Appendix Upon the Graduate Activities of the University",,['University of Pittsburgh. Graduate School'],"['Dissertations, Academic']"
Guide to the Study and Use of Reference Books,,[],['Reference books']
Top of the News,,[],"[""Children's libraries""]"
A.L.A. Booklist,,[],['Best books']
Phoebe,,[],"[""Women's studies""]"
Science Fare,,"['Wendy Saul', 'Alan R. Newman']",['Antiques & Collectibles']
Caribbean Women Writers,"In 1831, three years before England abolished slavery in the British Caribbean, the narrative of Mary Prince was published in London. It was the first account written by a Caribbean slave to be published. Although narratives and stories of Caribbean women have appeared sporadically in subsequent years, it is only since 1970 that a wave of women's writing has innudated the field, thereby changing the horizons of Caribbean literature.",['Selwyn Reginald Cudjoe'],['Literary Criticism']
Dying Planet,"For more than a century, Mars has been at the center of debates about humanity’s place in the cosmos. Focusing on perceptions of the red planet in scientific works and science fiction, Dying Planet analyzes the ways Mars has served as a screen onto which humankind has projected both its hopes for the future and its fears of ecological devastation on Earth. Robert Markley draws on planetary astronomy, the history and cultural study of science, science fiction, literary and cultural criticism, ecology, and astrobiology to offer a cross-disciplinary investigation of the cultural and scientific dynamics that have kept Mars on front pages since the 1800s. Markley interweaves chapters on science and science fiction, enabling him to illuminate each arena and to explore the ways their concerns overlap and influence one another. He tracks all the major scientific developments, from observations through primitive telescopes in the seventeenth century to data returned by the rovers that landed on Mars in 2004. Markley describes how major science fiction writers—H. G. Wells, Kim Stanley Robinson, Philip K. Dick, Edgar Rice Burroughs, Ray Bradbury, Robert Heinlein, and Judith Merril—responded to new theories and new controversies. He also considers representations of Mars in film, on the radio, and in the popular press. In its comprehensive study of both science and science fiction, Dying Planet reveals how changing conceptions of Mars have had crucial consequences for understanding ecology on Earth.",['Robert Markley'],['Fiction']
News & Views of the South Carolina Library Association,,['South Carolina Library Association'],['Libraries']
Introduction to Operating Systems,"This text aims to provide a firm foundation in the principles and concepts of operating systems design and discuss major issues, as well as to show how several operating systems have implemented these concepts. It covers all major topics of operating systems, including memory management, I/O processing, concurrent processing, auxiliary storage management, and scheduling. There is also a chapter on queuing theory and a chapter with four case studies: MS-DOS, UNIX, VMS, and MVS. Additional case studies are presented at the end of each chapter.",['William A. Shay'],['Computers']
Building Bridges,"'Building Bridges' explores the work and legacy of French documentary-maker Jean Rouch. It contains over 20 new essays from a global cast of filmmakers, film critics, academics and actors, including a number of Rouch's African-based collaborators, and discusses his massive contribution to ethnographic filmmaking.",['Joram Ten Brink'],['Performing Arts']
Annual Report of the Committee on Public Library,,"['Grand Rapids Public Library (Grand Rapids, Mich.)']",[]
The Fiery Quill,"Nationalism in Marathi literature, 1870-1920; a study.",['Balkrishna Govind Gokhale'],['Marathi literature']
A Survey of Michigan County Library Users,,['Margaret Murray Wylie'],['Library use studies']
Census of Public Libraries,,['New Zealand. Dept. of Statistics'],['Libraries']
Bulletin of the Public Library of the City of Boston,,['Boston Public Library'],[]
"The ""Thaw"" in Bulgarian Literature",A critical review of post-World War II Bulgarian literature focusing on the 1950s and 1960s when the rigidity of communist restrictions on literary expression were temporarily relaxed.,['Atanas Slavov'],['History']
Bulletin [1908-23],,['Boston Public Library'],[]
May Contain Graphic Material,"Since the first Superman film came to the screen in 1978, films adapted from comics have become increasingly important as a film form. Since that time, advances in computer-generated special effects have significantly improved the ability of film to capture the style and action of comics, producing film such as X-men and Spider-man.",['M. Keith Booker'],['Performing Arts']
Works of Thomas Hill Green: Philosophical works,,['Thomas Hill Green'],"['Philosophy, British']"
Publications of the Buffalo Historical Society,,[],['Buffalo (N.Y.)']
The Journal of the Institute of Bangladesh Studies,,['Rājaśāhī Biśvabidyālaẏa. Inasṭiṭiuṭa aba Bāṃlādeśa Sṭāḍija'],['Bangladesh']
Tales of the Supernatural in Early Modern Japan,"This book is intended to assess the significance of kaidan, specifically its multi-dimensional reflection of an impact on Japanese culture in the Edo period. The legacy of Japan's cultural efflorescence in the late eighteenth century was far-reaching, its fruits often seen as epitomizing the entire Tokugawa period. In the years between the Kan'en era (1748-1751) and the chilling effects of the Kansei Reforms (1790), there was no dearth of innovative belletristic expression, but in the area of fiction, the yomihon of Ueda Akinari (1734-1809) eclipse all else. Professor Reider's outstanding study treats this unusual scion of a remarkable age, contextualizing his work from a unique perspective. Under various noms de plume, Akinari authored significant works in several genres of both poetry and prose, but his greatest opus is incontrovertibly his Ugetsu monogatari (Tales of Moonlight and Rain), a collection of nine stories that revolutionized tales of the supernatural, elevating the genre to unprecedented levels of style and sophistication. Such a work deserves - and has duly received - ample critical attention from scholars on both sides of the Pacific, resulting in a plethora of seco",['Noriko T. Reider'],['Literary Criticism']
THE WRITER'S MONTHLY,,[],['Authorship']
The Writer,The oldest magazine for literary workers.,[],['Authorship']
Workers in the Dawn,"In this, his first published novel, George Gissing establishes the hallmarks of his life-long literary obsession with class, money and sex. Against the turbulent background of London in the late nineteenth century he explores the overwhelming obstacles that face men of education, intelligence and talent, who strive to escape from the artisan class into which they were born. The novel marks a turning point in the history of English fiction. Through his subversive treatment of the conventions of fiction, Gissing becomes a founding member of the new school of fin-de-siecle literary realism and anticipates the twentieth-century novels of D. H. Lawrence and George Orwell.",['George Gissing'],['Fiction']
The American Hereford Record and Hereford Herd Book,,"[""American Hereford Cattle Breeders' Association""]",[]
Monographic Series,,['Library of Congress'],['Monographic series']
Proposed Tribal College Cataloging Systems,,['George Gregory Chester'],['Classification']
Conversations on Contemporary Drama,,['Clayton Meeker Hamilton'],['Drama']
"Book Catalog Index Number Three, 1970",,['University of Western Ontario. School of Library & Information Science'],"['Catalogs, Book']"
The Law and the Lady,"Valeria Woodville's first act as a married woman is to sign her name in the marriage register incorrectly, and this slip is followed by the gradual disclosure of a series of secrets about her husband's earlier life, each of which leads on to another set of questions and enigmas. Her discoveries prompt her to defy her husband's authority, to take the law into into a labyrinthine maze of false clues and deceptive identities, in which the exploration of the tangled workings of the mind becomes linked to an investigation into the masquerades of femininity. Probably the first full-length novel with a woman detective as its heroine, The Law and the Lady is a fascinating example of Collins's later fiction. First published in 1875, it employs many of the techniques used in The Moonstone, developing them in bizarre and unexpected ways, and in its Gothic and fantastic elements The Law and the Lady adds a significant dimension to the history of detective fiction.",['Wilkie Collins'],[]
Library of Congress Catalogs,,['Library of Congress'],[]
The Saturday Evening Post,,[],['Periodicals']
Guide to Law Schools,"This newly updated directory describes 190 ABA-approved law schools as well as a selection of non-ABA-approved schools. Each profile presents admission requirements, the latest tuition figures and related fees, career placement services offered to graduates, and much more. A multi-page table lists each law school’s median LSAT scores achieved by incoming students and summarizes each school’s admission requirements. A section focusing on general advice for prospective law school students discusses ways to choose the best law school to fit each individual’s needs and advises on how to get through the often-tough school admission process. The typical law school environment is also described with emphasis on its competitive atmosphere.","[""Barron's Educational Series""]",['Study Aids']
Bulletin,,['School Library Association of California'],['School libraries']
New International Encyclopedia,,[],['Encyclopedias and dictionaries']
The Northwestern Reporter,,[],"['Law reports, digests, etc']"
"A Catalog of Books Represented by Library of Congress Printed Cards Issued to July 31, 1942",,[],['American literature']
Academy and Literature,,"['Charles Edward Cutts Birch Appleton', 'Charles Edward Doble', 'James Sutherland Cotton', 'Charles Lewis Hind', 'William Teignmouth Shore', 'Alfred Bruce Douglas', 'Ellis Ashmead-Bartlett', 'Thomas William Hodgson Crosland']",['Literature']
The American Review of Reviews,,['Albert Shaw'],[]
Scribner's Magazine ...,,[],[]
Story World and Photodramatist,,[],[]
Documents of the Assembly of the State of New York,,['New York (State). Legislature. Assembly'],['Government publications']
Southern Review,,[],['American literature']
A History of English Literature,,['John Buchan'],['English literature']
The Vassar Miscellany,,[],['Universities and colleges']
Catalogers' and Classifiers' Yearbook,,[],['Cataloging']
Modern American Library Economy as Illustrated by the Newark N. J. Free Public Library: Course of study for normal school pupils on the use of a library,,['John Cotton Dana'],['Library education']
The History and Character of Calvinism,This is a masterful historical portrait of the whole movement of Calvinism for general readers and scholars alike.,['John Thomas McNeill'],['History']
Journey to the Center of the Earth,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",['Jules Verne'],['Fiction']
The Truth about Marie (French Literature Series),"Moving through a variety of locales and adventures, The Truth about Marie revisits the unnamed narrator of Toussaint’s acclaimed Running Away, reporting on his now disintegrated relationship with the titular Marie—the story switching deftly between first- and third-person as the narrator continues to drift through life, and Marie does her best to get on with hers. Like all of Toussaint’s novels, The Truth about Marie’s plot matters far less than its pace and tempo, its chain of images, its sequence of events. From pouring rain in Paris to blazing fires on the island of Elba, from moments of intense action to perfectly paced lulls, The Truth about Marie relies on a series of contrasts to tell a beguiling, and finally touching, story of intimacy forever being regained and lost.",['Jean-Philippe Toussaint'],['Fiction']
Libraries,,['Mary Eileen Ahern'],['Libraries']
Printers' Ink,,[],['Advertising']
Fourth Estate,,[],['Journalism']
Nineteenth-century Studies,,[],['English literature']
Poe & Fanny,Presents a fictionalized account of a possible love affair between Edgar Poe and the poet Fanny Osgood.,['John May'],['Fiction']
Neale's Monthly,,[],['American literature']
"On the Emergence of ""Cthulhu"" & Other Observations",,['Steven John Mariconda'],[]
The Chinese Nation,,[],['China']
The Woman Citizen,,[],['Women']
The English Catalogue of Books,Volumes for 1898-1968 include a directory of publishers.,['Sampson Low'],['English imprints']
"Catalogue of Arabic, Persian, and Ottoman Turkish Books",,['Harvard University. Library'],['Arabic literature']
AB Bookman's Weekly,,[],['Antiquarian booksellers']
New International Encyclopedia. Supplement,,[],[]
The Canadian Encyclopedia: For-Pat,,[],['Canada']
Supreme Court Case on Appeal,,[],[]
"Young People, Soap Operas and Reality Tv",,['Cecilia von Feilitzen'],['Performing Arts']
The New Encyclopædia Britannica,,[],['Encyclopedias and dictionaries']
Non-Fiction Text Structures for Better Comprehension and Response,"Non-fiction text structures organize information into comprehensible patterns. Knowing how to recognize and use these structures to navigate non-fiction text greatly improves students' understanding of what they read. Gail Saunders-Smith simplifies the process by providing teachers of grades 4-8 with: ways to teach each of the five non-fiction text structures: compare/contrast, cause/effect, sequence/procedure, question/answer, and exemplification; engaging whole-class and small-group activities using written, verbal, image, three-dimensional, and technology responses; study skills for locating, recording, and using information; tools for assessing student understanding, and explanations of the text features that organize information within the text structures; and mini-lessons for whole-class, small-group, and independent application of students' text structure knowledge. Examples, photographs, student samples, and graphic organizers support your teaching, and a bibliography of professional books and resources for locating leveled non-fiction texts make this a complete, ready-to-use guide for improving student comprehension.",['Gail Saunders-Smith'],['Education']
Nonfiction Matters,"A guide to bringing nonfiction into the curriculum in third through eighth-grade classrooms, with strategies and ideas for reading nonfiction, conducting research, and writing reports.",['Stephanie Harvey'],['Education']
Nonfiction Strategies Grades 1-3,"Lessons detailing how to read, write, discuss, research, remember, and listen to information from nonfiction sources give students the meaningful practice they need to master nonfiction comprehension skills. Strategies are correlated to McREL s Standards.",['Debra J. Housel'],['Education']
REAL WRITER'S MARKET 2026: Independent Publishers Worldwide - UNABRIDGED -,"Welcome to Real Writer's Market: Independent Publishers, Small Presses. Real Writer’s Market is your guide to the burgeoning, global publishing marketplace: both literary and commercial. These are real publishing houses where you can submit your book proposals, fiction and non-fiction. Prose. Poetry, too. No agent required. When I set out on this journey over a year ago, I had no idea I'd wind up here. At the urging of my fellow AIG authors, I decided to dust off that old list of book publishers and post it somewhere or something. More than a thousand pages later, REAL WRITER’S MARKET has finally arrived. Hi everybody, and welcome to the 2026, latest greatest edition of REAL WRITER’S MARKET. It's a book, of course. What else? But it’s a lot more. You’ll see. So I had this awesome list for years that we swapped back and forth over at the IAG, but it was really nothing more than a simple tear sheet. It was all there in my head, somewhere; but with how I was getting on in years I knew: if I didn’t put it down soon, one day it would be lost. I set out on what I was sure what be nothing more than a three-hour cruise, maybe just a hundred good publishers or so. Spread them out a little, not just all USA. After a little while I realized, there was a gold mine here. At first it was going to be just 100. Then it was 200. Then 300. From there, it got completely out of hand. More than 500 publishers later (800 imprints), REAL WRITER’S MARKET is akin to some big old unabridged dictionary rising slowly and ceremoniously out from the Earth. Like in a Stanley Kubrick movie. This book is Huge. These are real book publishers from all over the world that you just won’t find at places like Duotrope or Poets & Writers. No offense. These are Gold. So why does the world need another boring ole reference book? For one thing: it’s a book. It’s personal. You know what I’m talking about. Secondly, unlike other R books, RWM jumps right into it. No gratuitous how-to articles or long-winded introductions, just 1,000+ pages of in-depth publisher listings. Listings include complete manuscript and submissions details, all publisher data and contact info, Editor MSWL, sales and acquisitions. Everything you need to find just the right publisher for your book. RWM is 155,000 words of raw publishing power. There are no page-fillers here. No throwaway entries. Every one of the publishers is a premium listing. Verified, and open for submissions. You’ll see. It’ll take you six weeks, more, just to get through the book once. It’s quite an adventure. REAL WRITER’S MARKET is your guide to the burgeoning, global publishing marketplace. Expanded listings for all Tier-1 markets: USA, Canada, UK, ANZ, IE. The digital age isn’t only changing the world, it’s opening it up. New markets are emerging on the Indian subcontinent every day (population 2 billion). Southeast Asia, too. Top new markets include Hong Kong, Singapore and the Oceania archipelago. Africa. The Caribbean. I was a stock market writer for over 30 years. Medical insurance. I know how to dig. Believe me, by the time you finish this book, not only will you have made twenty, twenty-five solid submissions, you’ll feel like you’ve traveled the world over. You have. Sincerely, Philip Loyd Thank you and Happy Publishing!",['Philip'],['Antiques & Collectibles']
Selected Non-Fictions,"This unique volume presents a Borges almost entirely unknown to American readers: his extraordinary non-fiction prose. Borges' unlimited curiosity and almost superhuman erudition become, in his essays, reviews, lectures, and political and cultural notes.",['Jorge Luis Borges'],['Biography & Autobiography']
Annual Report,,['New Orleans Public Library'],[]
Access,The aim of Nelson Thornes Framework English Access is to raise standards in writing for lower attainers. Access Skills in Fiction and Non-Fiction offers the rigour and support necessary to raise the attainment of students struggling through Years 7 - 10.,['Wendy Wren'],['Language Arts & Disciplines']
The Library World,,[],['Library science']
Another Year of Progress for the Providence Public Library,,['Providence Public Library (R.I.)'],[]
Report,,['Haverhill Public Library'],[]
The Bookman,,[],['Book collecting']
The Proceedings of the Ontario Library Association,,[],['Library science']
Bulletin of the Vermont Free Public Library Commission,,[],['Libraries']
Bulletin of the American Library Association,,['American Library Association'],[]
Annual Report,,['Los Angeles County Public Library'],['Libraries']
... Annual Report of the Carnegie Public Library of Ottawa for the Year ...,,['Carnegie Public Library of Ottawa'],['Public libraries']
Report of the Free Public Library Commission of Massachusetts,,[],['Public libraries']
Pennsylvania Library Notes,,[],['Libraries']
Report of the Minister of Education,,['Ontario. Department of Education'],['Education']
Report of the Minister of Education,,['Ontario. Dept. of Education'],[]
The Screen Guilds' Magazine,,[],['Motion pictures']
Annual Departmental Reports of the Corporation of the City of Ottawa ...,,[],[]
Municipal Register ...,"Contains a list of the officers of the city government and its various departments, message of the Mayor, annual reports of the several departments, ordinances, etc.",['Hartford (Conn.)'],[]
Writer's Monthly,,[],['Authorship']
The Publishers Weekly,,[],['American literature']
Illinois Reading Council Journal,,[],['Reading']
Author and Journalist,,[],[]
Annual Report of the Providence Public Library,,['Providence Public Library (R.I.)'],['Providence (R.I.)']
Annual Report of the Board of Trustees and Annual Report of the Librarian of the Public Library of the District of Columbia,,['District of Columbia. Public Library'],[]
2004 Novel and Short Story Writer's Market,"Lists addresses and information on contacts, pay rates, and submission requirements, and includes essays on the craft of writing.","['Anne Bowling', 'Michael Schweer', 'Vanessa Lyman']",['Language Arts & Disciplines']
Quill & Quire,,[],['Book industries and trade']
The Wall Street Journal,,[],"[""Barron's national business and financial weekly""]"
International Directory of Little Magazines & Small Presses,,['Lenard V. Fulton'],['Little magazines']
The Proceedings of the Ontario Library Association ... Annual Meeting,,['Ontario Library Association'],['Library science']
Southern Observer,,[],['American literature']
The Writer,The oldest magazine for literary workers.,"['William Henry Hills', 'Robert Luce']",['Authorship']
Bulletin of the New Hampshire Public Libraries,,[],[]
Writing Dramatic Nonfiction,"Dramatic nonfiction is the relating of factual information in a manner that makes it as gripping as fiction. Using the techniques and guidelines offered in this book, writers will be able to create nonfiction works that rise to the level of great literature without sacrificing credibility. Dramatic techniques such as flashbacks, foreshadowing, character development, and scene intercuts are explained, and guidelines for the use of such devices are furnished. Recognising that dramatic or creative nonfiction is now an important part of the literary landscape, this book teaches writers how to best craft exciting true accounts.",['William Noble'],['Language Arts & Disciplines']
Reports of the Minister of Education,,['Ontario. Department of Education'],[]
New Zealand Books in Print,,[],['New Zealand']
Publishing in Cambodia,,['Helen Jarvis'],['Libraries and publishing']
The Editor,,[],['Authorship']
Proceedings of the Board of Directors of the Chicago Public Library,,['Chicago Public Library'],[]
Library Review,,['Robert Duncan Macleod'],['Libraries']
Alternative Access for ELLs,,['Corey Elizabeth Ray-Subramanian'],[]
Proceedings,,['American Library Association'],[]
Maryland Library Notes,,[],[]
"Industrie Du Livre Au Canada, Avec Où Trouver Qui",,[],['Book industries and trade']
Challenges in Knowledge Representation and Organization for the 21st Century,"This volume contains the proceedings of the Seventh International ISKO Conference, 10-13 July 2002 in Granada, Spain.",['Mariá J. López-Huertas'],['Language Arts & Disciplines']
Contributions to Education,,[],['Education']
Report,"""First report of the Library Commission of Maine, 1900"" appended to 29th report.",['Maine State Library'],[]
An Analysis of the Structural Differences Between the Oral and Written Language of One Hundred Secondary School Students,,['Ethel Amelia Kaump'],['High school students']
County Libraries in Great Britain and Ireland,,['Carnegie United Kingdom Trust'],['Libraries']
A.L.A. Practice Sheets,,['American Library Association. Library Curriculum Study'],['Library circulation and loans']
The Dramatists Guild Quarterly,,[],['Dramatists']
Small Press Review,,[],['Books']
New York Libraries. a Quarterly Devoted to the Interests of the Libraries of the State,,[],[]
School Library Yearbook,In three parts: 1. School library progress. 2. Instruction in the use of books and libraries. 3. Directory of school librarieans who are members o f the A.L.A.,[],['Librarians']
